Timestamp for sample frequency every 15 min,Temperature (°C)
2024-07-10 14:18:00,28.1425
2024-07-10 14:33:00,32.2300
2024-07-10 14:48:00,34.4325
2024-07-10 15:03:00,36.4875
2024-07-10 15:18:00,36.4525
2024-07-10 15:33:00,35.6125
2024-07-10 15:48:00,35.9700
2024-07-10 16:03:00,36.2475
2024-07-10 16:18:00,36.3625
2024-07-10 16:33:00,36.2525
2024-07-10 16:48:00,35.9975
2024-07-10 17:03:00,35.6875
2024-07-10 17:18:00,35.3475
2024-07-10 17:33:00,34.9925
2024-07-10 17:48:00,34.7100
2024-07-10 18:03:00,34.4575
2024-07-10 18:18:00,34.1825
2024-07-10 18:33:00,33.9350
2024-07-10 18:48:00,33.7050
2024-07-10 19:03:00,32.5475
2024-07-10 19:18:00,32.6725
2024-07-10 19:33:00,32.8250
2024-07-10 19:48:00,32.9250
2024-07-10 20:03:00,32.8675
2024-07-10 20:18:00,32.6875
2024-07-10 20:33:00,32.5200
2024-07-10 20:48:00,32.3275
2024-07-10 21:03:00,32.0825
2024-07-10 21:18:00,31.7950
2024-07-10 21:33:00,31.5625
2024-07-10 21:48:00,31.2425
2024-07-10 22:03:00,30.8100
2024-07-10 22:18:00,30.1400
2024-07-10 22:33:00,29.5775
2024-07-10 22:48:00,28.7650
2024-07-10 23:03:00,28.6625
2024-07-10 23:18:00,28.7350
2024-07-10 23:33:00,28.8350
2024-07-10 23:48:00,28.8775
2024-07-11 00:03:00,28.9300
2024-07-11 00:18:00,28.9650
2024-07-11 00:33:00,29.0000
2024-07-11 00:48:00,29.0100
2024-07-11 01:03:00,29.0225
2024-07-11 01:18:00,28.9875
2024-07-11 01:33:00,28.9525
2024-07-11 01:48:00,28.9350
2024-07-11 02:03:00,28.8775
2024-07-11 02:18:00,28.8200
2024-07-11 02:33:00,28.7700
2024-07-11 02:48:00,28.7125
2024-07-11 03:03:00,28.6475
2024-07-11 03:18:00,28.5600
2024-07-11 03:33:00,28.5025
2024-07-11 03:48:00,28.4025
2024-07-11 04:03:00,28.2675
2024-07-11 04:18:00,28.1475
2024-07-11 04:33:00,28.0075
2024-07-11 04:48:00,27.8675
2024-07-11 05:03:00,27.6975
2024-07-11 05:18:00,27.5400
2024-07-11 05:33:00,27.3650
2024-07-11 05:48:00,27.1950
2024-07-11 06:03:00,27.0250
2024-07-11 06:18:00,26.8500
2024-07-11 06:33:00,26.6975
2024-07-11 06:48:00,26.3725
2024-07-11 07:03:00,24.2950
2024-07-11 07:18:00,23.7525
2024-07-11 07:33:00,23.4425
2024-07-11 07:48:00,23.3325
2024-07-11 08:03:00,23.3000
2024-07-11 08:18:00,23.3300
2024-07-11 08:33:00,23.3750
2024-07-11 08:48:00,23.4450
2024-07-11 09:03:00,23.5500
2024-07-11 09:18:00,23.7100
2024-07-11 09:33:00,23.7900
2024-07-11 09:48:00,23.9050
2024-07-11 10:03:00,23.9675
2024-07-11 10:18:00,24.0725
2024-07-11 10:33:00,24.1475
2024-07-11 10:48:00,24.2425
2024-07-11 11:03:00,24.3250
2024-07-11 11:18:00,24.4200
2024-07-11 11:33:00,24.5000
2024-07-11 11:48:00,24.6100
2024-07-11 12:03:00,24.7150
2024-07-11 12:18:00,24.8100
2024-07-11 12:33:00,24.9175
2024-07-11 12:48:00,25.0425
2024-07-11 13:03:00,25.1900
2024-07-11 13:18:00,25.2975
